n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
64,-0.0493201,0.013915189,-0.10081196,902.44,Sun May 21 05:46:59 MDT 2017,-0.011133491,0.081254326,9.806307,0.0018228985,0.0037286435,0.8257921,-2.7960994,100.0,62.689,-25.14,-82.763,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,105,-0.060453594,0.095169514,9.705495
66,0.021759827,-0.0075478926,-0.09462643,902.44,Sun May 21 05:47:19 MDT 2017,-0.06365836,0.0811696,9.8061075,-3.8602023E-4,0.0052476036,0.82742965,-2.7977304,100.0,62.828,-25.44,-83.004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,105,-0.04189853,0.073621705,9.711481
68,0.091827005,-0.0029230714,-0.05919075,902.4,Sun May 21 05:47:40 MDT 2017,-2.4878714E-4,-0.7739954,9.776058,-0.022299811,-0.0325271,0.82409126,-2.3735776,100.0,51.292,-17.008,-36.294,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,106,0.091578215,-0.7769185,9.716867
70,-0.021629207,0.067908406,-0.055072784,902.47,Sun May 21 05:48:00 MDT 2017,0.11320742,-0.7334965,9.778524,-0.016632052,-0.03407533,0.8205205,-4.3708625,100.0,50.99,-16.407,-35.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,99,0.091578215,-0.6655881,9.723452
72,2.1727133,-1.113425,0.20230389,902.27,Sun May 21 05:48:20 MDT 2017,-4.702786,3.183811,7.9948444,0.3056,0.037606772,-0.7145683,0.7265914,100.0,-3.092,-20.068,-48.492,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,99,-2.5300727,2.070386,8.197148
74,0.030475587,-0.04666991,-0.13875198,902.29,Sun May 21 05:48:40 MDT 2017,0.19338228,-0.0018126755,9.804743,-0.009774776,-0.001326023,-0.98916656,-1.5721668,100.0,-5.914,-15.423,-50.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,108,0.22385786,-0.048482586,9.665991
76,-0.0036603576,-0.010850184,-0.13424301,902.25,Sun May 21 05:49:00 MDT 2017,0.013835715,-0.09090339,9.806219,4.567453E-4,-0.004638672,0.99802285,-0.607283,100.0,1.795,-14.399,-53.529,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,111,0.010175358,-0.10175357,9.671976
78,0.012554318,-0.011881851,-0.13011265,902.24,Sun May 21 05:49:21 MDT 2017,0.035928268,-0.077302165,9.806279,0.0015246577,-0.0040596407,0.996851,-0.5656759,96.6359,2.122,-14.096,-53.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,110,0.048482586,-0.089184016,9.676167
80,0.040877894,0.0542629,-0.14273453,902.2,Sun May 21 05:49:41 MDT 2017,0.044116266,-0.1266875,9.805733,0.0022673553,-0.0065110526,0.9999655,-1.2289823,96.286835,-0.12,-13.647,-55.143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98,106,0.08499416,-0.0724246,9.662998
82,0.15806568,0.40753856,0.017614365,902.56,Sun May 21 05:50:01 MDT 2017,-1.3641448,0.3598031,9.70464,0.008724399,0.07217009,0.14724478,-2.9696958,100.0,12.792,18.534,-47.212,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97,103,-1.2060791,0.7673417,9.722255
