n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z
90,-0.14607227,0.031149387,-0.10767269,906.7291,Thu Nov 10 19:22:06 MST 2016,-0.21535969,2.6039927,9.452154,0.08157514,-0.106863156,-0.8345351,0.0,0.0,-10.318375,-12.070465,-25.558472
91,-0.065876454,0.09120059,-0.06885815,906.6796,Thu Nov 10 19:22:07 MST 2016,0.16329235,2.7021165,9.425618,0.07630129,-0.1166418,-0.794476,0.0,0.0,-11.383057,-11.92627,-25.097275
92,-0.021371692,0.021169186,0.11322117,906.6082,Thu Nov 10 19:22:08 MST 2016,0.25753,2.7612798,9.406349,0.0727801,-0.12293389,-0.8011761,0.0,0.0,-10.656357,-11.317062,-24.637604
93,-0.031127661,-0.01974392,-0.01198864,906.5371,Thu Nov 10 19:22:09 MST 2016,0.32448986,2.7941556,9.394562,0.069003716,-0.12747216,-0.8099863,0.0,0.0,-10.570908,-11.484146,-24.91455
94,-0.07724345,0.01968813,0.018702507,906.46173,Thu Nov 10 19:22:10 MST 2016,0.36527163,2.8158514,9.386583,0.0670441,-0.13008668,-0.8137166,0.0,0.0,-11.374283,-11.588287,-24.729156
95,-0.07660094,0.06312919,-0.17761517,906.3994,Thu Nov 10 19:22:12 MST 2016,0.35899472,2.7265697,9.413146,0.065720335,-0.12547486,-0.809453,0.0,0.0,-11.358261,-10.906601,-24.824142
96,0.05068031,0.012236357,0.061897278,906.31104,Thu Nov 10 19:22:13 MST 2016,0.4524369,2.7760339,9.394644,0.063441314,-0.13031384,-0.8083665,0.0,0.0,-11.461639,-11.502075,-25.28305
97,0.012226313,-0.029830933,-0.12963772,906.2702,Thu Nov 10 19:22:14 MST 2016,0.411693,2.8049824,9.387916,0.06498593,-0.13086759,-0.81275225,0.0,0.0,-11.558151,-11.845779,-25.097275
98,-0.18625611,0.0135474205,0.20839596,906.19055,Thu Nov 10 19:22:15 MST 2016,0.35653856,2.805842,9.389915,0.06774501,-0.12906647,-0.8110356,0.0,0.0,-11.103439,-11.410904,-24.821472
99,-0.3177507,-0.031193256,-0.07439232,906.13513,Thu Nov 10 19:22:16 MST 2016,0.5406718,2.7578213,9.395344,0.06078567,-0.13143781,-0.80138993,0.0,0.0,-12.436676,-11.356354,-24.824142
100,-0.36827862,0.021637201,-0.035406113,906.0787,Thu Nov 10 19:22:17 MST 2016,0.29532886,2.7201557,9.417214,0.07183773,-0.12122315,-0.7922484,0.0,0.0,-12.609482,-11.104584,-24.91684
101,-0.47678545,-0.056520462,-0.027435303,906.00397,Thu Nov 10 19:22:18 MST 2016,0.14074947,2.7030342,9.425719,0.08117732,-0.113279805,-0.7738241,0.0,0.0,-13.124847,-10.350418,-24.829865
